,reaction,sample_id,flux
113,EX_dcyt_m,Cancer7,0.06359660857852578
114,EX_csn_m,Cancer7,0.051093293265608075
115,EX_arg_L_m,Cancer7,0.01481402325540418
116,EX_his_L_m,Cancer7,0.013641143021526143
117,EX_asn_L_m,Cancer7,1e-06
118,EX_gln_L_m,Cancer7,1e-06
119,EX_lys_L_m,Cancer7,1e-06
120,EX_trp_L_m,Cancer7,1e-06
121,EX_thm_m,Cancer7,1e-06
122,EX_pheme_m,Cancer7,0.0002642213504223305
123,EX_sheme_m,Cancer7,0.00021730559064520096
124,EX_fe2_m,Cancer7,0.0002033064427091368
125,EX_fe3_m,Cancer7,0.0004165430609901892
126,EX_cu2_m,Cancer7,0.0003102874557702829
127,EX_cl_m,Cancer7,0.00031029599227676773
128,EX_mg2_m,Cancer7,0.00031029164860572834
129,EX_k_m,Cancer7,0.00031027411831339546
130,EX_mn2_m,Cancer7,0.0003107301199213211
131,EX_cobalt2_m,Cancer7,0.0003102665414504261
132,EX_ca2_m,Cancer7,0.00031028745572010853
133,EX_zn2_m,Cancer7,0.00031024367754966414
134,EX_metsox_S_L_m,Cancer7,1e-06
135,EX_pydam_m,Cancer7,1e-06
136,EX_dextran40_m,Cancer7,1e-06
137,EX_arabinoxyl_m,Cancer7,1e-06
138,EX_rhamnogalurII_m,Cancer7,1e-06
139,EX_pnto_R_m,Cancer7,1e-06
140,EX_q8_m,Cancer7,1e-06
141,EX_arabinan101_m,Cancer7,1e-06
142,EX_homogal_m,Cancer7,1e-06
143,EX_lichn_m,Cancer7,1e-06
144,EX_amylose300_m,Cancer7,1e-06
145,EX_glcmannan_m,Cancer7,1e-06
146,EX_xylan_m,Cancer7,1e-06
147,EX_pect_m,Cancer7,1e-06
148,EX_pydx_m,Cancer7,1e-06
149,EX_gthrd_m,Cancer7,1e-06
150,EX_pi_m,Cancer7,1e-06
151,EX_galmannan_m,Cancer7,1e-06
152,EX_xyluglc_m,Cancer7,1e-06
153,EX_levan1000_m,Cancer7,1e-06
154,EX_arabinogal_m,Cancer7,1e-06
155,EX_pullulan1200_m,Cancer7,1e-06
156,EX_starch1200_m,Cancer7,1e-06
157,EX_amylopect900_m,Cancer7,1e-06
158,EX_rhamnogalurI_m,Cancer7,1e-06
159,EX_gthox_m,Cancer7,0.00012830747331149528
160,EX_spmd_m,Cancer7,1e-06
161,EX_fol_m,Cancer7,1e-06
